stage,elapsed_us
scheduler.enqueue_microbatch,6.596
scheduler.build_microbatch,15.744
scheduler.decode_pop,82996
scheduler.adapter_pop,82436.7
scheduler.enqueue_microbatch,6.156
scheduler.build_microbatch,15.469
scheduler.decode_pop,76471.1
scheduler.adapter_pop,75424
scheduler.enqueue_microbatch,12.745
scheduler.build_microbatch,24.145
scheduler.decode_pop,78950.5
scheduler.adapter_pop,78367.1
scheduler.enqueue_microbatch,13.284
scheduler.build_microbatch,24.742
scheduler.decode_pop,79434.1
scheduler.adapter_pop,80280.4
scheduler.enqueue_microbatch,5.739
scheduler.build_microbatch,15.661
scheduler.decode_pop,80209.1
scheduler.adapter_pop,81725.8
scheduler.enqueue_microbatch,6.209
scheduler.build_microbatch,17.02
scheduler.decode_pop,82060.7
scheduler.adapter_pop,82506.3
scheduler.enqueue_microbatch,11.891
scheduler.build_microbatch,19.357
scheduler.decode_pop,82467.1
scheduler.adapter_pop,83217.5
scheduler.enqueue_microbatch,13.312
scheduler.build_microbatch,21.284
scheduler.decode_pop,81002.1
scheduler.adapter_pop,79367.5
scheduler.enqueue_microbatch,6.229
scheduler.build_microbatch,16.671
scheduler.decode_pop,76721
scheduler.adapter_pop,76331.3
scheduler.enqueue_microbatch,6.266
scheduler.build_microbatch,17.171
scheduler.decode_pop,79385.5
scheduler.adapter_pop,79055.2
scheduler.enqueue_microbatch,4.24
scheduler.build_microbatch,10.208
scheduler.decode_pop,78354.2
scheduler.adapter_pop,78116.4
scheduler.enqueue_microbatch,5.574
scheduler.build_microbatch,11.127
scheduler.decode_pop,75926.9
scheduler.adapter_pop,76317.7
scheduler.enqueue_microbatch,6.147
scheduler.build_microbatch,16.826
scheduler.decode_pop,85280.9
scheduler.adapter_pop,83895.8
scheduler.enqueue_microbatch,8.003
scheduler.build_microbatch,18.71
scheduler.decode_pop,75855.1
scheduler.adapter_pop,77082.4
scheduler.enqueue_microbatch,5.837
scheduler.build_microbatch,15.727
scheduler.decode_pop,83210.2
scheduler.adapter_pop,83087
scheduler.enqueue_microbatch,11.505
scheduler.build_microbatch,24.013
scheduler.decode_pop,80237.8
scheduler.adapter_pop,80925.8
scheduler.enqueue_microbatch,7.056
scheduler.build_microbatch,11.712
scheduler.decode_pop,74115.1
scheduler.adapter_pop,73936.6
scheduler.enqueue_microbatch,7.326
scheduler.build_microbatch,14.421
scheduler.decode_pop,82413.2
scheduler.adapter_pop,82738.9
scheduler.enqueue_microbatch,6.071
scheduler.build_microbatch,13.318
scheduler.decode_pop,77358.2
scheduler.adapter_pop,77969
scheduler.enqueue_microbatch,6.381
scheduler.build_microbatch,17.748
scheduler.decode_pop,84152.4
